,family_id,twin_A_id,twin_A_age,twin_A_sex,twin_B_id,twin_B_age,twin_B_sex
0,fam-0001,sub-0001,14.0,M,sub-0018,14.0,M
1,fam-0116,sub-0003,14.0,M,sub-0233,14.0,F
2,fam-0002,sub-0004,11.0,M,sub-0420,11.0,M
3,fam-0088,sub-0005,12.0,F,sub-0178,12.0,F
4,fam-0178,sub-0006,15.0,M,sub-0329,15.0,F
5,fam-0003,sub-0007,10.0,F,sub-0048,10.0,F
6,fam-0014,sub-0010,16.0,F,sub-0036,16.0,F
7,fam-0137,sub-0013,10.0,F,sub-0261,10.0,F
8,fam-0082,sub-0015,12.0,M,sub-0171,12.0,M
9,fam-0093,sub-0016,11.0,F,sub-0183,11.0,F
10,fam-0007,sub-0017,15.0,M,sub-0059,15.0,M
11,fam-0001,sub-0001,14.0,M,sub-0018,14.0,M
12,fam-0008,sub-0019,11.0,F,sub-0213,11.0,F
13,fam-0009,sub-0020,12.0,M,sub-0310,12.0,M
14,fam-0202,sub-0021,13.0,F,sub-0372,13.0,F
15,fam-0029,sub-0024,15.0,M,sub-0073,15.0,F
16,fam-0011,sub-0028,13.0,M,sub-0408,13.0,M
17,fam-0012,sub-0031,12.0,M,sub-0161,12.0,M
18,fam-0110,sub-0032,15.0,F,sub-0223,15.0,F
19,fam-0014,sub-0010,16.0,F,sub-0036,16.0,F
20,fam-0015,sub-0037,13.0,F,sub-0078,13.0,F
21,fam-0144,sub-0038,13.0,M,sub-0272,13.0,F
22,fam-0018,sub-0041,10.0,M,sub-0292,10.0,M
23,fam-0092,sub-0042,12.0,M,sub-0182,12.0,M
24,fam-0151,sub-0043,12.0,F,sub-0279,12.0,F
25,fam-0097,sub-0047,12.0,F,sub-0188,12.0,F
26,fam-0003,sub-0007,10.0,F,sub-0048,10.0,F
27,fam-0081,sub-0049,12.0,M,sub-0170,12.0,M
28,fam-0155,sub-0050,12.0,F,sub-0284,12.0,M
29,fam-0019,sub-0051,12.0,M,sub-0086,12.0,M
30,fam-0122,sub-0053,15.0,F,sub-0242,15.0,F
31,fam-0199,sub-0054,13.0,M,sub-0363,13.0,M
32,fam-0050,sub-0058,14.0,M,sub-0111,14.0,M
33,fam-0007,sub-0017,15.0,M,sub-0059,15.0,M
34,fam-0121,sub-0060,14.0,M,sub-0241,14.0,F
35,fam-0204,sub-0064,13.0,F,sub-0374,13.0,F
36,fam-0051,sub-0067,15.0,M,sub-0114,15.0,F
37,fam-0023,sub-0068,13.0,M,sub-0375,13.0,M
38,fam-0028,sub-0072,14.0,M,sub-0158,14.0,M
39,fam-0029,sub-0024,15.0,M,sub-0073,15.0,F
40,fam-0033,sub-0075,13.0,F,sub-0084,13.0,F
41,fam-0146,sub-0076,11.0,F,sub-0273,11.0,F
42,fam-0015,sub-0037,13.0,F,sub-0078,13.0,F
43,fam-0031,sub-0079,12.0,M,sub-0401,12.0,F
44,fam-0206,sub-0080,11.0,F,sub-0378,11.0,F
45,fam-0085,sub-0081,10.0,F,sub-0174,10.0,F
46,fam-0033,sub-0075,13.0,F,sub-0084,13.0,F
47,fam-0034,sub-0085,12.0,M,sub-0403,12.0,M
